DATE,O,H,L,C,SYM
20100104,109.52,111.55,109.42,111.27,CL
20100105,111.4,111.76,110.71,111.53,CL
20100106,111.21,113.28,110.61,112.94,CL
20100107,112.95,113.12,112.02,112.42,CL
20100108,112.41,113.23,111.56,112.51,CL
20100111,112.64,113.71,111.72,112.28,CL
20100112,111.83,112.1,109.67,110.55,CL
20100113,109.82,110.43,108.13,109.41,CL
20100114,109.39,110.12,108.68,109.15,CL
20100115,108.96,109.07,107.46,107.76,CL
20100119,107.94,108.91,106.52,108.78,CL
20100120,108.64,108.79,106.72,107.38,CL
20100121,107.21,108.0,105.3,105.72,CL
20100122,105.51,106.14,103.65,104.18,CL
20100125,103.88,105.06,103.7,104.9,CL
20100126,104.99,104.99,103.46,104.35,CL
20100127,104.32,104.73,102.29,103.31,CL
20100128,103.35,104.13,102.57,103.28,CL
20100129,103.46,104.46,102.07,102.53,CL
20100201,102.39,104.63,102.13,104.07,CL
20100202,104.58,107.05,104.04,106.87,CL
20100203,106.62,107.68,106.16,106.62,CL
20100204,106.73,106.81,102.06,102.78,CL
20100205,102.65,103.58,99.14,100.83,CL
20100208,101.82,102.03,100.41,101.53,CL
20100209,101.35,103.79,100.96,103.39,CL
20100210,103.47,104.61,102.24,104.16,CL
20100211,104.24,105.33,103.02,104.92,CL
20100212,104.94,104.99,102.3,103.77,CL
20100216,103.64,107.06,103.35,106.65,CL
20100217,106.98,107.46,106.17,106.97,CL
20100218,106.93,108.93,105.96,108.7,CL
20100219,108.0,109.74,107.4,109.45,CL
20100222,109.74,110.15,109.09,109.8,CL
20100223,109.53,109.88,107.71,108.35,CL
20100224,108.6,109.94,107.74,109.49,CL
20100225,109.77,109.81,106.54,107.66,CL
20100226,107.77,109.54,107.31,109.15,CL
20100301,109.28,110.11,107.55,108.19,CL
20100302,108.37,110.44,107.75,109.17,CL
20100303,109.13,110.72,108.93,110.36,CL
20100304,110.5,110.58,109.19,109.7,CL
20100305,110.07,111.56,109.96,110.99,CL
20100308,111.24,111.9,110.24,111.36,CL
20100309,111.22,111.4,109.65,110.98,CL
20100310,110.87,112.52,110.3,111.58,CL
20100311,111.46,111.87,110.82,111.6,CL
20100312,111.69,112.65,110.06,110.73,CL
20100315,110.62,110.8,108.62,109.29,CL
20100316,109.36,111.59,108.81,111.19,CL
20100317,111.53,112.58,111.21,112.42,CL
20100318,112.34,112.34,111.17,111.69,CL
20100319,111.66,111.66,109.35,110.17,CL
20100322,110.42,110.98,108.06,110.74,CL
20100323,110.96,111.34,109.99,111.05,CL
20100324,110.72,110.78,109.02,109.75,CL
20100325,109.39,110.62,109.24,109.67,CL
20100326,109.29,110.6,108.68,109.14,CL
20100329,109.38,111.92,109.32,111.31,CL
20100330,111.64,111.88,110.91,111.51,CL
20100331,111.64,112.99,111.36,112.9,CL
20100401,112.5,114.51,112.35,114.01,CL
20100405,114.45,116.04,114.2,115.76,CL
20100406,115.88,116.23,115.27,115.98,CL
20100407,115.9,116.14,114.66,115.02,CL
20100408,114.77,115.02,113.52,114.53,CL
20100409,114.72,115.51,113.26,114.06,CL
20100412,114.31,114.85,113.22,113.48,CL
20100413,113.5,113.56,111.65,113.19,CL
20100414,112.96,115.53,112.85,114.98,CL
20100415,115.05,115.41,114.41,114.65,CL
20100416,114.45,114.58,111.66,112.38,CL
20100419,112.04,112.14,109.67,110.59,CL
20100420,110.83,112.79,110.65,112.59,CL
20100421,112.82,113.38,111.66,112.42,CL
20100422,112.21,112.81,110.47,112.44,CL
20100423,112.49,113.93,111.66,113.86,CL
20100426,113.96,114.37,112.47,112.94,CL
20100427,112.63,113.07,110.44,111.18,CL
20100428,110.58,112.18,110.03,111.96,CL
20100429,112.07,114.37,111.75,113.91,CL
20100430,114.32,115.24,113.9,114.89,CL
20100503,114.94,115.89,114.57,114.93,CL
20100504,114.83,114.98,110.79,111.48,CL
20100505,110.87,111.57,107.89,108.71,CL
20100506,108.37,109.13,103.32,105.85,CL
20100507,105.69,106.93,103.25,103.85,CL
20100510,104.85,107.25,104.54,105.54,CL
20100511,106.01,106.42,104.1,105.11,CL
20100512,104.63,105.74,103.49,104.39,CL
20100513,104.21,105.19,102.36,103.14,CL
20100514,102.73,102.87,99.57,100.35,CL
20100517,100.51,100.99,98.01,98.82,CL
20100518,99.24,101.26,97.65,98.15,CL
20100519,97.85,100.17,96.64,98.61,CL
20100520,99.94,100.03,92.98,96.75,CL
20100521,95.47,97.18,94.95,95.99,CL
20100524,96.57,96.91,95.52,96.16,CL
20100525,95.85,95.99,93.1,94.7,CL
20100526,96.0,97.65,95.16,97.46,CL
20100527,96.69,100.9,96.62,100.5,CL
20100528,100.81,101.67,99.08,99.92,CL
20100601,99.92,101.28,97.59,98.53,CL
20100602,97.87,99.88,97.63,98.81,CL
20100603,99.65,100.9,98.27,100.56,CL
20100604,100.56,101.37,96.68,97.46,CL
20100607,96.3,98.44,95.46,97.39,CL
20100608,97.11,98.55,96.7,97.94,CL
20100609,98.46,100.91,97.98,100.33,CL
20100610,99.82,102.25,99.67,101.43,CL
20100611,101.47,101.59,99.21,99.73,CL
20100614,100.01,101.94,99.99,101.07,CL
20100615,100.73,103.11,100.57,102.89,CL
20100616,103.04,104.08,102.01,103.62,CL
20100617,103.39,103.74,102.12,102.74,CL
20100618,102.5,103.4,101.51,103.13,CL
20100621,103.45,104.87,102.83,103.77,CL
20100622,103.3,104.05,102.48,103.16,CL
20100623,102.83,103.14,100.48,101.66,CL
20100624,101.31,101.88,100.63,101.82,CL
20100625,101.87,104.5,101.21,104.17,CL
20100628,104.31,104.69,103.03,103.56,CL
20100629,103.46,103.63,100.52,101.25,CL
20100630,100.77,102.14,99.7,100.94,CL
20100701,100.68,100.71,97.36,98.26,CL
20100702,97.98,98.69,96.93,97.45,CL
20100706,97.37,99.17,96.4,97.29,CL
20100707,97.38,100.23,96.75,99.38,CL
20100708,100.16,101.31,99.69,100.75,CL
20100709,101.16,101.79,100.31,101.4,CL
20100712,101.61,101.74,99.83,100.26,CL
20100713,100.37,102.68,99.56,102.46,CL
20100714,102.44,103.46,101.69,102.35,CL
20100715,102.07,102.97,100.64,101.93,CL
20100716,102.13,102.46,100.56,101.32,CL
20100719,100.91,103.0,100.81,101.85,CL
20100720,101.71,102.88,100.96,102.75,CL
20100721,103.02,103.74,101.37,101.73,CL
20100722,101.6,104.59,101.33,104.47,CL
20100723,104.44,104.77,103.57,104.15,CL
20100726,104.15,104.5,103.23,104.15,CL
20100727,104.09,104.86,101.96,102.67,CL
20100728,102.25,102.91,101.07,102.16,CL
20100729,102.06,104.06,101.62,103.53,CL
20100730,103.42,104.22,102.0,104.12,CL
20100802,104.12,106.94,104.0,106.51,CL
20100803,106.58,107.81,106.28,107.72,CL
20100804,107.59,108.14,106.79,107.64,CL
20100805,107.61,107.65,106.73,107.18,CL
20100806,107.29,107.84,105.21,105.87,CL
20100809,106.08,106.93,105.88,106.65,CL
20100810,106.61,106.79,104.37,105.42,CL
20100811,105.39,105.61,102.42,103.19,CL
20100812,102.48,103.14,100.69,100.91,CL
20100813,100.92,101.91,100.18,100.56,CL
20100816,100.77,101.12,100.03,100.41,CL
20100817,100.23,101.8,100.18,100.94,CL
20100818,100.62,100.91,99.0,100.59,CL
20100819,100.44,101.27,99.13,99.6,CL
20100820,99.62,99.77,98.36,98.63,CL
20100823,98.71,99.29,97.56,97.91,CL
20100824,97.76,97.86,96.13,96.44,CL
20100825,96.28,97.78,95.57,97.33,CL
20100826,97.63,98.79,97.35,98.17,CL
20100827,97.99,100.4,96.85,99.98,CL
20100830,100.31,100.39,98.82,99.51,CL
20100831,98.88,99.54,96.34,96.73,CL
20100901,96.51,99.29,96.48,98.72,CL
20100902,98.72,99.95,97.92,99.83,CL
20100903,99.74,100.25,98.01,99.41,CL
20100907,99.11,99.44,97.44,98.9,CL
20100908,98.72,100.2,98.18,99.48,CL
20100909,99.73,100.77,98.69,99.06,CL
20100910,99.21,101.54,99.18,101.26,CL
20100913,101.17,102.85,101.17,102.0,CL
20100914,101.98,102.8,101.02,101.61,CL
20100915,101.45,101.46,99.47,100.83,CL
20100916,100.57,100.8,98.92,99.38,CL
20100917,99.28,100.06,97.56,98.47,CL
20100920,98.4,100.26,98.13,99.67,CL
20100921,99.38,99.41,97.62,98.33,CL
20100922,98.15,99.36,97.2,98.07,CL
20100923,98.2,98.97,96.94,98.54,CL
20100924,98.31,100.04,98.02,99.85,CL
20100927,99.83,100.53,98.88,99.88,CL
20100928,99.59,100.48,98.89,99.54,CL
20100929,99.56,101.49,98.96,101.22,CL
20100930,101.27,103.54,100.91,103.33,CL
20101001,103.2,105.11,103.06,104.94,CL
20101004,105.04,105.74,104.13,104.83,CL
20101005,104.73,106.35,104.51,106.18,CL
20101006,105.96,107.45,105.65,106.59,CL
20101007,106.63,107.79,104.36,105.03,CL
20101008,104.79,106.49,103.66,106.02,CL
20101011,106.31,106.86,105.18,105.57,CL
20101012,105.3,105.69,104.24,105.03,CL
20101013,105.08,106.81,105.04,106.37,CL
20101014,106.59,107.48,105.57,106.05,CL
20101015,106.13,106.69,104.11,104.61,CL
20101018,104.74,106.64,103.71,106.44,CL
20101019,106.31,106.56,102.61,102.85,CL
20101020,102.84,105.39,102.71,105.13,CL
20101021,105.14,105.29,102.68,103.15,CL
20101022,103.32,104.66,103.0,104.28,CL
20101025,104.6,105.87,104.04,105.11,CL
20101026,105.06,105.47,104.4,105.14,CL
20101027,105.07,105.28,103.11,104.53,CL
20101028,104.58,105.23,104.09,104.77,CL
20101029,104.51,104.71,103.15,104.02,CL
20101101,104.04,106.45,103.91,105.54,CL
20101102,105.47,107.06,105.42,106.49,CL
20101103,106.96,107.95,106.16,107.28,CL
20101104,107.68,109.42,107.51,109.08,CL
20101105,109.19,110.02,108.55,109.44,CL
20101108,109.98,110.08,108.55,109.65,CL
20101109,109.34,110.22,108.07,109.31,CL
20101110,109.04,110.8,108.69,110.4,CL
20101111,110.44,111.22,110.13,110.4,CL
20101112,110.32,110.44,107.11,107.47,CL
20101115,107.46,108.36,107.07,107.45,CL
20101116,107.17,107.33,104.62,104.93,CL
20101117,105.03,105.26,102.65,103.03,CL
